player,team,minutes,raw_total,per90
Ian Rey Smith Quiros,Costa Rica,0.4,1.0,225.00
César Augusto Yanis Velasco,Panama,0.6,1.0,163.64
Jamie Sterry,Newcastle United,1.7,2.0,109.09
Rándall Azofeifa Corrales,Costa Rica,2.2,1.0,40.30
Noah Mbamba,Bayer Leverkusen,2.8,1.0,32.14
Fodé Ballo Touré,Senegal,3.0,1.0,29.67
João José Jone Bonde,Mozambique,6.8,2.0,26.47
Roman Bezus,Ukraine,3.7,1.0,24.66
Lucas Martínez Quarta,Argentina,3.7,1.0,24.22
Christian Gabriel Oliva Giménez,Valencia,4.4,1.0,20.61
Ibrahim Ba,Bolton Wanderers,4.5,1.0,20.00
Christian Frederick Bayoi Makoun Reyes,Venezuela,5.9,1.0,15.34
Khangembam Bidyashagar Singh,Bengaluru,6.3,1.0,14.25
John Barnes,England,6.5,1.0,13.95
Rinus Israel,Netherlands,6.5,1.0,13.88
Wesley Saïd,Rennes,13.4,2.0,13.45
Bas Dost,Wolfsburg,6.9,1.0,13.11
Ante Palaversa,Troyes,7.2,1.0,12.53
Jerome Ngom Mbekeli,Cameroon,8.0,1.0,11.32
Louis Schaub,Austria,8.6,1.0,10.49
Nicolai Møller Boilesen,Denmark,17.2,2.0,10.45
Felipe Abdiel Baloy Ramírez,Panama,8.7,1.0,10.33
Yo-Han Go,South Korea,17.7,2.0,10.20
Enrique Morán Blanco,Barcelona,9.3,1.0,9.66
Valentin Carboni,Argentina,9.5,1.0,9.47
Kermit Romeo Erasmus,Rennes,19.9,2.0,9.05
Jon Morcillo Conesa,Athletic Club,10.2,1.0,8.79
Mirlind Daku,Albania,10.3,1.0,8.78
Juan José Óscar Siafá Etoha,Equatorial Guinea,10.3,1.0,8.75
Bersant Celina,Manchester City,10.4,1.0,8.64
Gustavo Adolfo Puerta Molano,Bayer Leverkusen,42.3,4.0,8.52
Giuseppe Volpecina,Napoli,11.3,1.0,8.00
Mariano Díaz Mejía,Real Madrid,22.6,2.0,7.96
Gheorghe Tataru,Romania,11.6,1.0,7.76
Erich Hamann,German DR,12.1,1.0,7.44
Dmitriy Alenichev,FC Porto,24.4,2.0,7.38
Ahmed Hassan Mahgoub,Egypt,12.4,1.0,7.26
Alfredo Torres,Argentina U20,26.2,2.0,6.87
Juan José Meza,Argentina U20,26.3,2.0,6.84
Zakarie Labidi,Lyon,13.3,1.0,6.78
Kervin Mario Andrade Navarro,Venezuela,13.4,1.0,6.72
Nenad Mirosavljević,Cádiz,13.5,1.0,6.68
Maximilian Philipp,Freiburg,13.9,1.0,6.49
Yannik Keitel,Freiburg,13.9,1.0,6.48
Kevin Csoboth,Hungary,13.9,1.0,6.47
Marcial Manuel Pina Morales,Barcelona,70.0,5.0,6.43
Enrique Álvarez Costas,Barcelona,70.0,5.0,6.43
Joaquim Rifé Climent,Barcelona,70.0,5.0,6.43
Juan Carlos Pérez López,Barcelona,70.0,5.0,6.43
Antonio Torres García,Barcelona,70.0,5.0,6.43
Eric Kleybel Ramírez Matheus,Venezuela,14.0,1.0,6.42
Maurizio Neri,Napoli,14.1,1.0,6.38
Cletous Chama,Zambia,14.2,1.0,6.32
Jordy Josué Caicedo Medina,Ecuador,28.7,2.0,6.27
Jean Eudès Aholou,Strasbourg,14.8,1.0,6.07
Seung-Ho Paik,Girona,15.9,1.0,5.68
Chris Waddle,England,16.4,1.0,5.50
Sekou Oumar Yansane,Paris Saint-Germain,16.4,1.0,5.48
Keith Gillespie,Leicester City,16.4,1.0,5.48
Abdiel Arroyo Molinar,Panama,16.4,1.0,5.48
Luis Fernando Sinisterra Lucumí,Colombia,33.0,2.0,5.45
Gustavo Augusto Poyet Domínguez,Tottenham Hotspur,16.7,1.0,5.39
Kepa Blanco Gonzalez,Sevilla,16.7,1.0,5.38
Rafael Alexandre Fernandes Ferreira da Silva,Portugal,51.0,3.0,5.29
Eddy Maanane,Stade de Reims,17.5,1.0,5.15
Alan Dzagoev,Russia,35.9,2.0,5.02
Francis Jeffers,Everton,18.2,1.0,4.94
Calvin Stengs,OGC Nice,18.3,1.0,4.92
Stefan Ilsanker,Austria,18.6,1.0,4.84
Ivan Toney,Newcastle United,37.6,2.0,4.79
Pere Valentí Mora Mariné,Barcelona,132.2,7.0,4.77
Juan Manuel Asensi Ripoll,Barcelona,132.2,7.0,4.77
Carles Rexach i Cerdà,Barcelona,132.2,7.0,4.77
Jesus Antonio de la Cruz Gallego,Barcelona,132.2,7.0,4.77
Jay Fulton,Swansea City,19.0,1.0,4.73
Silvestre Manuel Gonçalves Varela,Recreativo Huelva,19.2,1.0,4.70
Robbie Robinson Belmar,Inter Miami,19.4,1.0,4.65
Hugo Alejandro Sotil Yerén,Peru,97.0,5.0,4.64
Emilio José Viqueira Moure,Levante UD,19.5,1.0,4.63
Dušan Švento,FC Köln,19.5,1.0,4.62
Joe Dodoo,Leicester City,19.6,1.0,4.58
Shaquille Momad Nangy,Mozambique,20.0,1.0,4.51
Jonjoe Kenny,Everton,41.4,2.0,4.35
Nihat Kahveci,Villarreal,41.4,2.0,4.35
Arbër Zeneli,Stade de Reims,21.1,1.0,4.27
Abel Ruiz Ortega,Barcelona,21.2,1.0,4.25
Dietmar Hamann,Liverpool,66.3,3.0,4.07
Nicolas Douchez,Paris Saint-Germain,88.8,4.0,4.06
Adrián Sardinero Corpa,Getafe,22.3,1.0,4.04
Tyronne Ebuehi,Nigeria,44.7,2.0,4.03
Alejandro Balboa Bandeira,Equatorial Guinea,22.4,1.0,4.02
Ignacio Monsalve Vicente,Atlético Madrid,90.4,4.0,3.98
Dominik Furman,Hellas Verona,22.6,1.0,3.98
Kieran O''Neill Dowell,Everton,68.5,3.0,3.94
Thomas Henry,Nantes,22.9,1.0,3.94
Mitchell van Bergen,Stade de Reims,23.2,1.0,3.88
Garang Kuol,Australia,23.4,1.0,3.85
Tom Davies,Everton,70.3,3.0,3.84
Dejan Stanković,Inter Milan,23.5,1.0,3.84
Yuya Kubo,Cincinnati,23.5,1.0,3.83
Vicente Alberto Pernía,Boca Juniors,71.3,3.0,3.79
Ariel Krasouski,Boca Juniors,71.3,3.0,3.79
Roberto Mouzo,Boca Juniors,71.3,3.0,3.79
Carlos Córdoba,Boca Juniors,71.3,3.0,3.79
Carlos Alberto Rodríguez,Boca Juniors,71.3,3.0,3.79
Jorge Benítez,Boca Juniors,71.3,3.0,3.79
Hugo Perotti,Boca Juniors,71.3,3.0,3.79
Augusto Jorge Mateo Solari,Celta Vigo,23.8,1.0,3.78
Aldo Kalulu Kyatengwa,Lyon,167.3,7.0,3.77
Marvin Gakpa,Lorient,24.1,1.0,3.74
Micky van de Ven,Netherlands,73.0,3.0,3.70
Matías Ezequiel Vargas Martín,Espanyol,25.3,1.0,3.56
Mikel Arruabarrena Aranbide,Eibar,25.5,1.0,3.53
Zsolt Nagy,Hungary,25.9,1.0,3.48
Vanderlei Fernandes Silva,FC Porto,78.1,3.0,3.46
Ryan Allsop,AFC Bournemouth,52.2,2.0,3.45
Arthur Augusto de Matos Soares,Bayer Leverkusen,182.9,7.0,3.44
Eberechi Eze,England,78.6,3.0,3.43
Alessio Tacchinardi,Villarreal,26.4,1.0,3.42
Antonio Olmo Ramírez,Barcelona,52.9,2.0,3.40
Omar El Kaddouri,Napoli,159.3,6.0,3.39
Iván Alejo Peralta,Cádiz,26.6,1.0,3.39
Max Christiansen,Ingolstadt,26.7,1.0,3.37
Jônatas Domingos,Espanyol,26.9,1.0,3.34
Seityasen Singh,Kerala Blasters,108.0,4.0,3.33
Rafael Augusto Sóbis do Nascimento,Real Betis,27.0,1.0,3.33
Yoann Cathline,Lorient,27.3,1.0,3.30
Nilton de Sordi,Brazil,82.8,3.0,3.26
Francisco José Rodrigues da Costa,FC Porto,84.3,3.0,3.20
Paulo Renato Rebocho Ferreira,FC Porto,84.3,3.0,3.20
Nuno Jorge Pereira Silva Valente,FC Porto,84.3,3.0,3.20
Pedro Miguel da Silva Mendes,FC Porto,84.3,3.0,3.20
Vítor Manuel Martins Baía,FC Porto,84.3,3.0,3.20
Jorge Paulo Costa Almeida,FC Porto,84.3,3.0,3.20
Florent Muslija,Freiburg,28.1,1.0,3.20
Adam Matthews,Sunderland,28.2,1.0,3.20
Sandip Mandi,Jamshedpur,56.5,2.0,3.19
Sandro Ramírez Castillo,Barcelona,511.7,18.0,3.17
Jhonder Leonel Cádiz Fernández,Venezuela,85.3,3.0,3.16
Vladlen Yurchenko,Bayer Leverkusen,286.8,10.0,3.14
Orlando Peçanha de Carvalho,Brazil,173.4,6.0,3.11
Hideraldo Luis Bellini,Brazil,173.4,6.0,3.11
Papiss Mison Djilobodji,Werder Bremen,87.0,3.0,3.11
Jeong-Ho Hong,Augsburg,58.0,2.0,3.10
Dennis Praet,Belgium,29.1,1.0,3.10
Jean Thierry Lazare Amani,Côte d'Ivoire,29.3,1.0,3.07
Ryan Gravenberch,Netherlands,88.3,3.0,3.06
Marcos dos Santos Assunção,Real Betis,29.7,1.0,3.04
Soualiho Meïté,Lille,29.7,1.0,3.03
Ole Gunnar Solskjær,Manchester United,30.0,1.0,3.00
Rowllin Borges,Mumbai City,30.1,1.0,2.99
Deven Sawhney,Odisha,30.3,1.0,2.97
Nilton dos Reis Santos,Brazil,243.1,8.0,2.96
Gylmar dos Santos Neves,Brazil,243.1,8.0,2.96
Edvaldo Izidio Neto,Brazil,243.1,8.0,2.96
José Ely de Miranda,Brazil,243.1,8.0,2.96
Manoel Francisco dos Santos,Brazil,243.1,8.0,2.96
Mário Jorge Lobo Zagallo,Brazil,243.1,8.0,2.96
Waldyr Pereira,Brazil,243.1,8.0,2.96
Fin Bartels,Werder Bremen,60.8,2.0,2.96
Rosinei Adolfo,Real Murcia CF,30.6,1.0,2.95
Francisco Javier García Noblejas Hernanz,Getafe,91.7,3.0,2.94
Ricardo Pérez de Zabalza Goytre,Real Murcia CF,30.6,1.0,2.94
Dieter Hoeneß,Germany,30.6,1.0,2.94
Jun-Ho Son,South Korea,61.3,2.0,2.94
Rafael Dalmacio Zuviría Rodríguez,Barcelona,62.2,2.0,2.90
Francisco Fortes Calvo,Barcelona,62.2,2.0,2.90
Ángel Israel Mena Delgado,Ecuador,31.3,1.0,2.87
Wilker José Ángel Romero,Venezuela,94.1,3.0,2.87
Abdoulaye Seck,Senegal,94.9,3.0,2.84
Thabang Amod Monare,South Africa,64.0,2.0,2.81
Dejalma Pereira Dias dos Santos,Brazil,160.3,5.0,2.81
Massimo Crippa,Napoli,161.4,5.0,2.79
Layvin Kurzawa,AS Monaco,1388.1,43.0,2.79
Ayman Kari,Lorient,32.5,1.0,2.77
Sébastien Pocognoli,West Bromwich Albion,32.5,1.0,2.77
Hernâni Jorge Santos Fortes,Levante UD,32.6,1.0,2.76
Angelo Di Livio,Fiorentina,66.3,2.0,2.72
Davy Klaassen,Netherlands,199.6,6.0,2.71
Romario Andrés Ibarra Mina,Ecuador,67.1,2.0,2.68
Cole Palmer,England,135.0,4.0,2.67
Manuel Pérez Rodrigo,Cádiz,33.8,1.0,2.67
Patrik Berger,Portsmouth,34.0,1.0,2.64
Veljko Birmančević,Toulouse,34.1,1.0,2.64
Gabriel Humberto Calderón,Argentina U20,102.4,3.0,2.64
Aitor Ramos Leniz,Athletic Club,34.3,1.0,2.63
Javier Matías Pastore,Paris Saint-Germain,830.8,24.0,2.60
Gérson de Oliveira Nunes,Brazil,311.6,9.0,2.60
Vitomir Dimitrijević,NY Cosmos,34.8,1.0,2.59
Zózimo Alves Calazães,Brazil,69.7,2.0,2.58
Mauro Ramos de Oliveira,Brazil,69.7,2.0,2.58
Chul Hong,South Korea,140.2,4.0,2.57
Marlon Santos da Silva Barbosa,Barcelona,175.5,5.0,2.56
Felicio Mendes Joao Milson,Angola,35.2,1.0,2.56
Jamie MacLaren,Australia,35.3,1.0,2.55
Jadon Sancho,England,141.4,4.0,2.55
Nordi Mukiele Mulere,Paris Saint-Germain,820.8,23.0,2.52
Nathan Tella,Bayer Leverkusen,785.4,22.0,2.52
Kevin Strootman,AS Roma,179.2,5.0,2.51
Christian Fassnacht,Switzerland,72.0,2.0,2.50
Evgeny Makarenko,Ukraine,36.0,1.0,2.50
Andrea Carnevale,Napoli,324.5,9.0,2.50
Cenk Tosun,Turkey,36.2,1.0,2.49
Simon Pouplin,OGC Nice,36.3,1.0,2.48
Francesco Totti,AS Roma,364.2,10.0,2.47
Clodoaldo Tavares de Santana,Brazil,474.1,13.0,2.47
Miguel Filipe Nunes Cardoso,RC Deportivo La Coruña,36.6,1.0,2.46
François Pantxi Sirieix,Toulouse,36.7,1.0,2.45
Telasco José Segovia Pérez,Venezuela,73.4,2.0,2.45
Hervin Scicchitano Ongenda,Paris Saint-Germain,331.4,9.0,2.44
Gregory van der Wiel,Paris Saint-Germain,1290.7,35.0,2.44
Abdul Hakku Nediyodath,Kerala Blasters,36.9,1.0,2.44
Noé Elias Pamarot,Hércules,73.9,2.0,2.43
Abraham Paz Cruz,Hércules,73.9,2.0,2.43
Tiago Filipe Figueiras Gomes,Hércules,73.9,2.0,2.43
Saman Ghoddos,Iran,74.2,2.0,2.43
Anga Dedryck Boyata,Belgium,445.8,12.0,2.42
Mehdi Torabi,Iran,75.0,2.0,2.40
Aaren D''Silva,Hyderabad,75.1,2.0,2.40
Sávio Moreira de Oliveira,Brazil,112.7,3.0,2.40
Oleksandr Zubkov,Ukraine,37.6,1.0,2.39
Rafael Alcântara do Nascimento,Celta Vigo,2331.7,62.0,2.39
Zlatan Ibrahimović,Barcelona,4100.0,109.0,2.39
Andrés Mateus Uribe Villa,Colombia,376.8,10.0,2.39
Aleix Vidal Parreu,Almería,1740.6,46.0,2.38
Everaldo Marques da Silva,Brazil,378.7,10.0,2.38
Rob Rensenbrink,Netherlands,267.3,7.0,2.36
Édson Arantes do Nascimento,Brazil,806.8,21.0,2.34
Djed Spence,Rennes,77.5,2.0,2.32
Émerson Ferreira da Rosa,Real Madrid,77.5,2.0,2.32
David Luiz Moreira Marinho,Chelsea,2069.8,53.0,2.30
Alessandro Pierini,Fiorentina,78.3,2.0,2.30
Tomáš Řepka,Fiorentina,78.3,2.0,2.30
Gabriel Omar Batistuta,Fiorentina,78.3,2.0,2.30
Jörg Heinrich,Fiorentina,78.3,2.0,2.30
Aldo Firicano,Fiorentina,78.3,2.0,2.30
Sandro Cois,Fiorentina,78.3,2.0,2.30
Abel Eduardo Balbo,Fiorentina,78.3,2.0,2.30
Rui Manuel César Costa,Fiorentina,78.3,2.0,2.30
Moreno Torricelli,Fiorentina,78.3,2.0,2.30
Francesco Toldo,Fiorentina,78.3,2.0,2.30
Victor Okoh Boniface,Bayer Leverkusen,1534.3,39.0,2.29
Johan Cruyff,Ajax,748.8,19.0,2.28
Florinel Teodor Coman,Romania,119.6,3.0,2.26
Claudio Paul Caniggia,Argentina,120.1,3.0,2.25
Hercules Brito Ruas,Brazil,484.0,12.0,2.23
Félix Miéli Venerando,Brazil,484.0,12.0,2.23
Wilson da Silva Piazza,Brazil,484.0,12.0,2.23
Eduardo Gonçalves de Andrade,Brazil,484.0,12.0,2.23
Sjaak Swart,Ajax,121.2,3.0,2.23
Dieter Stinka,Napoli,80.8,2.0,2.23
Sergio Rubén García,Argentina U20,80.9,2.0,2.23
Hugo Alvez,Argentina U20,80.9,2.0,2.23
Juan Alberto Barbas Martínez,Argentina U20,80.9,2.0,2.23
Abelardo Carabelli,Argentina U20,80.9,2.0,2.23
Rubén Rossi,Argentina U20,80.9,2.0,2.23
Dionatan do Nascimento Teixeira,Stoke City,40.6,1.0,2.22
Blaise Matuidi,Paris Saint-Germain,2191.5,54.0,2.22
Francisco António Machado Mota de Castro Trincão,Barcelona,529.8,13.0,2.21
Dmytro Chygrynskiy,Barcelona,818.2,20.0,2.20
Thiago Motta,Barcelona,2743.1,67.0,2.20
Marc Bartra Aregall,Barcelona,3159.9,77.0,2.19
Pablo Martín Páez Gavira,Spain,287.3,7.0,2.19
Fran Karačić,Australia,82.3,2.0,2.19
Thiago Alcântara do Nascimento,Barcelona,3292.0,80.0,2.19
Henrikh Mkhitaryan,Borussia Dortmund,165.0,4.0,2.18
Douglas Costa de Souza,Bayern Munich,249.5,6.0,2.16
Edinson Roberto Cavani Gómez,Paris Saint-Germain,2619.6,63.0,2.16
Julien Bègue,Guingamp,41.6,1.0,2.16
Laros Duarte,Cape Verde Islands,41.6,1.0,2.16
Maxwell Scherrer Cabelino Andrade,Barcelona,5771.6,138.0,2.15
Sada Thioub,Saint-Étienne,42.2,1.0,2.13
Daniel Muñoz Mejía,Colombia,380.7,9.0,2.13
Vincenzo Renato Rennella,Real Betis,169.3,4.0,2.13
Benjamin Stambouli,Paris Saint-Germain,1356.6,32.0,2.12
Thiago Emiliano da Silva,Paris Saint-Germain,3313.0,78.0,2.12
Aaron Salem Boupendza Pozzi,Cincinnati,42.5,1.0,2.12
Arda Turan,Atlético Madrid,2184.4,51.0,2.10
Ajdin Hrustic,Australia,42.9,1.0,2.10
Alan Steve Minda García,Ecuador,85.8,2.0,2.10
Pierre-Emerick Aubameyang,Borussia Dortmund,171.7,4.0,2.10
Roman Bürki,Borussia Dortmund,171.7,4.0,2.10
Sokratis Papastathopoulos,Borussia Dortmund,171.7,4.0,2.10
Flavien Tait,Rennes,85.9,2.0,2.09
Alfred Benjamin Gomis,Rennes,85.9,2.0,2.09
Gustav Svensson,Sweden,129.0,3.0,2.09
Famara Diedhiou,Senegal,86.6,2.0,2.08
Velibor Vasović,Ajax,86.7,2.0,2.08
Dirk Wouter Johannes van Dijk,Ajax,86.7,2.0,2.08
Carlos Alberto Torres,Brazil,563.7,13.0,2.08
Abdulrahman Al-Obood,Saudi Arabia,43.4,1.0,2.08
Mickaël Le Bihan,OGC Nice,130.6,3.0,2.07
Neymar da Silva Santos Junior,Barcelona,12412.0,284.0,2.06
Wesley Sneijder,Real Madrid,218.7,5.0,2.06
Ezequiel Iván Lavezzi,Paris Saint-Germain,350.4,8.0,2.05
Filippo Inzaghi,AC Milan,87.6,2.0,2.05
Nim Dorjee Tamang,Hyderabad,701.5,16.0,2.05
Renato Soares de Oliveira Augusto,Brazil,43.9,1.0,2.05
Gaëtan Bussmann,FSV Mainz 05,88.1,2.0,2.04
José Enrique de la Sánchez Diaz,Villarreal,88.5,2.0,2.03
Javier Pedro Saviola Fernández,Sevilla,310.9,7.0,2.03
Alexander David González Sibulo,Venezuela,178.0,4.0,2.02
Fabricio Fabio Fuentes,Villarreal,178.8,4.0,2.01
Odilon Kossonou,Bayer Leverkusen,2017.2,45.0,2.01
Reinier Johannes Maria Rijnders,Ajax,45.0,1.0,2.00
Javier Alejandro Mascherano,Liverpool,14864.4,330.0,2.00
Claudio Garella,Napoli,90.3,2.0,1.99
Moreno Ferrario,Napoli,90.3,2.0,1.99
Giuseppe Bruscolotti,Napoli,90.3,2.0,1.99
Salvatore Bagni,Napoli,90.3,2.0,1.99
Bruno Giordano,Napoli,90.3,2.0,1.99
Lucas Matías Licht,Getafe,90.4,2.0,1.99
Daniel Alves da Silva,Sevilla,18606.4,411.0,1.99
Júlio César Soares de Espíndola,Inter Milan,90.9,2.0,1.98
Walter Adrián Samuel Luján,Inter Milan,90.9,2.0,1.98
Javier Aldemar Zanetti,Inter Milan,90.9,2.0,1.98
Lucimar da Silva Ferreira,Inter Milan,90.9,2.0,1.98
Esteban Matías Cambiasso Delau,Inter Milan,90.9,2.0,1.98
Kiyan Nassiri Giri,Mohun Bagan Super Giant,273.1,6.0,1.98
Carles Puyol i Saforcada,Barcelona,14659.7,322.0,1.98
Leonardo Spinazzola,Italy,365.2,8.0,1.97
Romain Faivre,Lorient,91.4,2.0,1.97
Yvon Landry Mvogo,Lorient,91.4,2.0,1.97
Abdoul Bamo Meité,Lorient,91.4,2.0,1.97
Patrick Wimmer,Wolfsburg,137.3,3.0,1.97
Jérémie Aliadière,Arsenal,229.0,5.0,1.96
David Villa Sánchez,Valencia,5002.8,109.0,1.96
Matthijs de Ligt,Netherlands,321.7,7.0,1.96
Jens Jønsson,Cádiz,92.0,2.0,1.96
Désiré Doué,Rennes,138.1,3.0,1.96
Ibrahima Konaté,France,277.0,6.0,1.95
Xavier Hernández Creus,Barcelona,19552.6,423.0,1.95
Claudio Andrés Bravo Muñoz,Real Sociedad,6983.4,151.0,1.95
Dixon Jair Arroyo Espinoza,Inter Miami,185.7,4.0,1.94
Guillermo Luis Franco Farquarson,Villarreal,92.9,2.0,1.94
Freddy Elías Góndola Smith,Panama,46.5,1.0,1.94
Tokelo Anthony Rantie,AFC Bournemouth,46.5,1.0,1.94
Eric-Sylvain Bilal Abidal,Barcelona,8184.2,176.0,1.94
Víctor Valdés Arribas,Barcelona,21841.8,469.0,1.93
Vincent Sierro,Toulouse,46.7,1.0,1.93
Dario Kresic,Bayer Leverkusen,46.7,1.0,1.93
Lucas Vázquez Iglesias,Espanyol,1640.4,35.0,1.92
Johan Neeskens,Ajax,657.4,14.0,1.92
Luis Alberto Suárez Díaz,Barcelona,15373.7,327.0,1.91
Robert Andrich,Bayer Leverkusen,1976.0,42.0,1.91
Marlon Frey,Bayer Leverkusen,235.8,5.0,1.91
Pedro Eliezer Rodríguez Ledesma,Barcelona,12637.2,268.0,1.91
Ciro Ferrara,Napoli,377.5,8.0,1.91
Alessandro Renica,Napoli,377.5,8.0,1.91
Gerrie Mühren,Ajax,236.1,5.0,1.91
Barry Hulshoff,Ajax,236.1,5.0,1.91
Heinz Stuy,Ajax,236.1,5.0,1.91
Diego Ifrán Sala,Real Sociedad,94.5,2.0,1.91
Aliaksandr Hleb,Barcelona,237.3,5.0,1.90
Mikel Arteta Amatriain,Arsenal,142.9,3.0,1.89
Héctor Junior Firpo Adames,Real Betis,1049.6,22.0,1.89
Horst Blankenburg,Ajax,191.1,4.0,1.88
Eduard Alexander Bello Gil,Venezuela,286.7,6.0,1.88
Seydou Kéita,Sevilla,6885.3,144.0,1.88
Giovanni Francini,Napoli,287.2,6.0,1.88
Robert Taylor,Inter Miami,191.5,4.0,1.88
Arbër Hoxha,Albania,47.9,1.0,1.88
Lionel Andrés Messi Cuccittini,Barcelona,47201.5,985.0,1.88
Young-Sun Yun,South Korea,95.9,2.0,1.88
Jorge Andrés Carrascal Guardo,Colombia,48.1,1.0,1.87
Daniele Rugani,Juventus,1114.1,23.0,1.86
Ivan Rakitić,Sevilla,14267.8,293.0,1.85
Jonas Hofmann,Borussia Dortmund,2290.5,47.0,1.85
Michael Krmenčík,Czech Republic,48.9,1.0,1.84
Adriano Correia Claro,Sevilla,7105.3,145.0,1.84
Juliano Haus Belletti,Barcelona,1276.3,26.0,1.83
Andrés Iniesta Luján,Barcelona,22936.3,466.0,1.83
Sergio Busquets i Burgos,Barcelona,30552.1,619.0,1.82
Kaoru Mitoma,Japan,148.5,3.0,1.82
Lamine Yamal Nasraoui Ebana,Spain,495.7,10.0,1.82
Diego Maurício Machado de Brito,Mumbai City,198.4,4.0,1.81
Jérémy Mathieu,Valencia,4323.3,87.0,1.81
Habibou Mouhamadou Diallo,Strasbourg,398.0,8.0,1.81
Gerard Piqué Bernabéu,Real Zaragoza,27893.8,559.0,1.80
Exequiel Alejandro Palacios,Argentina,1949.8,39.0,1.80
Eric García Martret,Spain,250.1,5.0,1.80
Alexandre Rodrigues da Silva,Chelsea,200.1,4.0,1.80
Kevin Trapp,Paris Saint-Germain,3003.3,60.0,1.80
Vlad Iulian Chiricheș,Napoli,651.2,13.0,1.80
Samuel Eto''o Fils,Barcelona,6419.5,128.0,1.79
Carles Aleña Castillo,Barcelona,753.1,15.0,1.79
Isak Vanlalruatfela,Odisha,150.7,3.0,1.79
Ronald Federico Araújo da Silva,Barcelona,1659.6,33.0,1.79
Sylvio Mendes Campos Junior,Barcelona,2819.5,56.0,1.79
Jordi Alba Ramos,Valencia,20950.5,415.0,1.78
Sahil Tavora,Hyderabad,505.9,10.0,1.78
Alejandro Grimaldo García,Bayer Leverkusen,2836.5,56.0,1.78
Kahiser Lenis Navarro,Panama,50.7,1.0,1.78
Jean-Kévin Augustin,Paris Saint-Germain,355.1,7.0,1.77
Florian Wirtz,Bayer Leverkusen,2640.2,52.0,1.77
James David Rodríguez Rubio,Real Madrid,2135.1,42.0,1.77
Clésio Bauque,Mozambique,51.1,1.0,1.76
Abderrazak Hamdallah,Morocco,51.1,1.0,1.76
Rees Greenwood,Sunderland,51.2,1.0,1.76
Lucas Rodrigues Moura da Silva,Paris Saint-Germain,2152.7,42.0,1.76
Francesco Romano,Napoli,102.5,2.0,1.76
Christopher Nkunku,Paris Saint-Germain,307.9,6.0,1.75
Thomas Vermaelen,Barcelona,2360.9,46.0,1.75
Óscar Alfredo Ruggeri Zocola,Boca Juniors,412.4,8.0,1.75
Giuliano Giuliani,Napoli,206.4,4.0,1.74
Fernando De Napoli,Napoli,258.4,5.0,1.74
Samuel Yves Umtiti,Lyon,9458.8,183.0,1.74
Alexander Prass,Austria,155.6,3.0,1.74
Jérémy Bela,Angola,51.9,1.0,1.74
Mahamadou Diarra,Real Madrid,259.7,5.0,1.73
Yury Gazinskiy,Russia,259.7,5.0,1.73
Arie Haan,Ajax,571.7,11.0,1.73
Henrik Larsson,Barcelona,521.5,10.0,1.73
Christian Atsu Twasam,Málaga,365.7,7.0,1.72
Amine Adli,Bayer Leverkusen,993.6,19.0,1.72
Marco Antônio Feliciano,Brazil,105.2,2.0,1.71
Nikica Jelavić,West Ham United,315.8,6.0,1.71
Antonio Carannante,Napoli,105.4,2.0,1.71
Marc-André ter Stegen,Barcelona,14316.4,271.0,1.70
Ruud Krol,Ajax,530.0,10.0,1.70
Thierry Henry,Arsenal,7536.4,142.0,1.70
Serge Aurier,Paris Saint-Germain,2020.5,38.0,1.69
Eiður Smári Guðjohnsen,Chelsea,1759.6,33.0,1.69
Yuri Zhirkov,Russia,266.7,5.0,1.69
Zakhele Lerato Lepasa,South Africa,106.8,2.0,1.69
Rohit Kumar,Bengaluru,160.3,3.0,1.68
Fabian Frei,FSV Mainz 05,107.1,2.0,1.68
Ricardo Andrade Quaresma Bernardo,Portugal,107.2,2.0,1.68
Marcos Aoás Corrêa,Paris Saint-Germain,6660.8,124.0,1.68
Ricard Puig Martí,Barcelona,700.1,13.0,1.67
Carlos Henrique Casimiro,Real Madrid,3128.0,58.0,1.67
Anderson Hernanes de Carvalho Andrade,Inter Milan,864.2,16.0,1.67
Necula Răducanu 'Rică',Romania,54.1,1.0,1.67
Roberto Rivelino,Brazil,486.9,9.0,1.66
Matt Miazga,Chelsea,216.7,4.0,1.66
Willem van Hanegem,Netherlands,379.7,7.0,1.66
Wim Jansen,Netherlands,380.6,7.0,1.66
Jan Jongbloed,Netherlands,380.6,7.0,1.66
Wim Rijsbergen,Netherlands,380.6,7.0,1.66
Mahamane El-Hadj Traoré,OGC Nice,380.7,7.0,1.65
Rafael Márquez Álvarez,Barcelona,6934.3,127.0,1.65
Federico Bikoro Akieme Nchama,Equatorial Guinea,327.7,6.0,1.65
Juan Ernesto Simón,Argentina U20,164.6,3.0,1.64
Ollie Watkins,England,55.0,1.0,1.64
Ángel Rodrigo Romero Villamayor,Paraguay,55.0,1.0,1.64
William Vainqueur,AS Roma,551.3,10.0,1.63
Donyell Malen,Netherlands,330.9,6.0,1.63
Marco Verratti,Paris Saint-Germain,4642.6,84.0,1.63
Lesley Chimuanya Ugochukwu,Rennes,165.9,3.0,1.63
Wim Suurbier,Ajax,610.2,11.0,1.62
José Correia,Guinea-Bissau,55.8,1.0,1.61
Nuno Mendes,Paris Saint-Germain,3128.9,56.0,1.61
Luca Fusi,Napoli,168.1,3.0,1.61
Jorge Luis Burruchaga,Argentina,336.3,6.0,1.61
Jackson Arley Martínez Valencia,Atlético Madrid,618.8,11.0,1.60
